,time,gender,sexuallity,age,income,race,bodyweight,friends,social_fear,depressed,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
138,5/18/2016 2:24:07,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,No,No,No,A student,Student,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
139,5/18/2016 2:27:11,Male,Straight,30,"$200,000 or more",White non-Hispanic,Overweight,1.0,Yes,No,No,Employed for wages,software engineer,Doctorate degree,Other exercise
140,5/18/2016 2:28:29,Male,Straight,19,"$10,000 to $19,999",White non-Hispanic,Overweight,4.0,Yes,Yes,No,A student,Engineer,"Some college, no degree",Other exercise
141,5/18/2016 2:28:37,Male,Straight,28,"$50,000 to $74,999",White non-Hispanic,Underweight,2.0,Yes,No,No,Employed for wages,Software eng.,Bachelor’s degree,None
142,5/18/2016 2:35:32,Female,Bisexual,19,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,A student,Student ,"Some high school, no diploma",Therapy
143,5/18/2016 2:38:51,Male,Straight,19,"$10,000 to $19,999",White non-Hispanic,Overweight,0.0,No,Yes,Yes,A student,student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
144,5/18/2016 2:40:05,Female,Straight,25,"$40,000 to $49,999",Asian,Underweight,17.0,No,No,No,Employed for wages,Admin,Bachelor’s degree,Nope not Fa
145,5/18/2016 2:42:02,Female,Bisexual,21,$0,Hispanic (of any race),Normal weight,10.0,Yes,Yes,Yes,A student,Student,"Some college, no degree","Therapy, Other exercise"
146,5/18/2016 2:51:15,Male,Straight,35,"$75,000 to $99,999",White non-Hispanic,Overweight,3.0,Yes,Yes,No,Employed for wages,Senior Developer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
147,5/18/2016 2:53:44,Female,Straight,21,$0,Asian,Normal weight,5.0,Yes,No,No,A student,College student/research intern ,Bachelor’s degree,"Other exercise, Hobbies - music, languages, calligraphy"
148,5/18/2016 2:58:31,Male,Straight,24,$0,Black,Normal weight,5.0,Yes,Yes,No,A student,student,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
149,5/18/2016 3:04:00,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,5.0,No,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
150,5/18/2016 3:06:09,Female,Bisexual,12,"$174,999 to $199,999",helicopterkin,Obese,15.0,No,No,No,Out of work but not currently looking for work,Sugar baby,"Some high school, no diploma",just b confident
151,5/18/2016 3:06:44,Female,Straight,23,"$1 to $10,000",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,A student,assistant caretaker,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
152,5/18/2016 3:26:59,Male,Straight,29,"$125,000 to $149,999",Black,Overweight,6.0,Yes,Yes,Yes,Self-employed,Engineer,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
153,5/18/2016 3:28:33,Male,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,20.0,Yes,No,No,Self-employed,Coo,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
154,5/18/2016 3:28:56,Male,Straight,30,"$1 to $10,000",White non-Hispanic,Underweight,1.0,Yes,Yes,No,Employed for wages,Researcher,Doctorate degree,"Joined a gym/go to the gym, Therapy"
155,5/18/2016 3:36:07,Male,Straight,21,$0,White non-Hispanic,Normal weight,3.0,Yes,Yes,No,A student,Application Developer,"Some college, no degree",None
156,5/18/2016 3:43:25,Male,Straight,18,$0,Asian,Underweight,3.0,Yes,Yes,Yes,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",None
157,5/18/2016 3:46:31,Male,Straight,22,$0,Hispanic (of any race),Overweight,2.0,Yes,Yes,No,Unable to work,None ,Associate degree,Therapy
158,5/18/2016 3:47:09,Male,Straight,22,"$20,000 to $29,999",White non-Hispanic,Overweight,3.0,Yes,No,No,Employed for wages,Courier,"Some college, no degree",Joined a gym/go to the gym
159,5/18/2016 3:49:14,Male,Straight,26,"$30,000 to $39,999",White non-Hispanic,Overweight,1.0,Yes,Yes,No,Employed for wages,Accounts Receivable,Associate degree,"Joined a gym/go to the gym, Other exercise"
160,5/18/2016 3:51:31,Male,Straight,20,$0,Hispanic (of any race),Overweight,1.0,Yes,Yes,Yes,A student,None ,"Some college, no degree","Therapy, Other exercise, Develop hobbies"
161,5/18/2016 4:02:09,Male,Straight,17,$0,Hispanic (of any race),Normal weight,6.0,No,No,No,A student,student,"Some high school, no diploma",None
162,5/18/2016 4:05:46,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Underweight,1.0,Yes,No,No,Employed for wages,Zivildiener (austrian stuff),"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
163,5/18/2016 4:16:01,Male,Straight,28,"$75,000 to $99,999",Middle Eastern,Normal weight,10.0,No,No,No,Employed for wages,Software Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
164,5/18/2016 4:23:37,Male,Straight,36,"$50,000 to $74,999",Asian,Normal weight,80.0,No,Yes,No,Employed for wages,ggg,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
165,5/18/2016 4:34:17,Female,Straight,26,"$40,000 to $49,999",White non-Hispanic,Obese,2.0,Yes,Yes,No,Employed for wages,RN,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
166,5/18/2016 4:37:40,Male,Straight,28,$0,White non-Hispanic,Overweight,0.0,Yes,Yes,No,Out of work but not currently looking for work,,"Some college, no degree","Joined a gym/go to the gym, Therapy"
167,5/18/2016 4:37:52,Male,Straight,21,"$75,000 to $99,999",Asian,Normal weight,1.0,No,Yes,No,Employed for wages,Auditor,Master’s degree,Joined a gym/go to the gym
168,5/18/2016 4:48:24,Male,Straight,21,$0,Asian,Normal weight,5.0,Yes,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
169,5/18/2016 4:57:53,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,A student,student,Bachelor’s degree,Other exercise
170,5/18/2016 4:59:02,Male,Straight,23,$0,White non-Hispanic,Underweight,0.0,Yes,Yes,No,Out of work but not currently looking for work,,Associate degree,None
171,5/18/2016 5:00:58,Male,Bisexual,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,Yes,Yes,No,A student,Freelance writer,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
172,5/18/2016 5:06:51,Male,Straight,28,"$10,000 to $19,999",White non-Hispanic,Normal weight,5.0,Yes,Yes,No,Employed for wages,Clerk,"Some high school, no diploma","Therapy, Other exercise, join clubs/socual clubs/meet ups"
173,5/18/2016 5:11:10,Male,Straight,31,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,Yes,No,Self-employed,self employed,"Some high school, no diploma",Other exercise
174,5/18/2016 5:11:50,Male,Straight,19,"$1 to $10,000",Asian,Normal weight,1.0,Yes,Yes,No,A student,-,"High school graduate, diploma or the equivalent (for example: GED)",None
175,5/18/2016 5:15:37,Female,Gay/Lesbian,15,$0,White non-Hispanic,Normal weight,0.0,Yes,No,No,A student,student,"Some high school, no diploma",None
176,5/18/2016 5:28:33,Male,Straight,26,"$1 to $10,000",Turkish,Overweight,3.0,Yes,Yes,No,Employed for wages,Operations Manager (i.e. I do what my father tells me to do in our family company).,Master’s degree,"Joined a gym/go to the gym, Therapy, Joined a German language learning course."
177,5/18/2016 5:29:14,Male,Straight,28,"$50,000 to $74,999",Asian,Overweight,10.0,Yes,Yes,No,Employed for wages,Mechanical engineer,Master’s degree,Other exercise
178,5/18/2016 5:41:19,Male,Straight,23,"$1 to $10,000",White non-Hispanic,Overweight,10.0,Yes,Yes,No,Employed for wages,Third Manager,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
179,5/18/2016 5:42:39,Male,Gay/Lesbian,26,"$30,000 to $39,999",White non-Hispanic,Overweight,0.0,No,Yes,Yes,Employed for wages,Flight Attendant,Associate degree,None
180,5/18/2016 5:45:48,Male,Straight,27,"$30,000 to $39,999",White non-Hispanic,Normal weight,15.0,No,No,No,Self-employed,Interpreter,Master’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
181,5/18/2016 5:47:41,Male,Straight,26,$0,White non-Hispanic,Normal weight,10.0,No,Yes,No,A student,Student,Bachelor’s degree,Other exercise
182,5/18/2016 5:49:21,Male,Straight,35,"$30,000 to $39,999",Asian,Normal weight,2.0,Yes,Yes,No,Employed for wages,engineer,"Some college, no degree",None
183,5/18/2016 5:49:42,Male,Straight,31,"$10,000 to $19,999",White non-Hispanic,Obese,3.0,No,No,No,Self-employed,none,"Some college, no degree",None
184,5/18/2016 5:50:59,Male,Straight,57,"$10,000 to $19,999",White non-Hispanic,Normal weight,0.0,No,No,No,Employed for wages,vehicle prep,Trade/technical/vocational training,None
185,5/18/2016 5:52:27,Male,Straight,25,$0,Hispanic (of any race),Normal weight,0.0,Yes,Yes,Yes,Out of work and looking for work,dunno,Bachelor’s degree,"Joined a gym/go to the gym, Therapy"
186,5/18/2016 6:03:51,Male,Straight,25,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Unable to work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, None"
187,5/18/2016 6:21:19,Male,Gay/Lesbian,25,$0,White non-Hispanic,Overweight,6.0,Yes,Yes,No,Out of work and looking for work,Unemployed ,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
188,5/18/2016 6:23:18,Female,Bisexual,22,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,A student,Student,"Some college, no degree",Therapy
189,5/18/2016 6:38:46,Female,Straight,23,$0,Asian,Underweight,0.0,Yes,Yes,No,Out of work but not currently looking for work,N/a,Bachelor’s degree,Other exercise
190,5/18/2016 6:40:35,Female,Straight,21,"$125,000 to $149,999",White non-Hispanic,Normal weight,16.0,No,No,No,Self-employed,Accountant,Associate degree,None
191,5/18/2016 6:41:08,Male,Straight,33,$0,White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Out of work and looking for work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
192,5/18/2016 6:53:02,Male,Straight,18,"$50,000 to $74,999",Asian,Normal weight,5.0,No,Yes,No,Employed for wages,Intern,"Some college, no degree",Joined a gym/go to the gym
193,5/18/2016 6:55:07,Male,Straight,27,$0,White non-Hispanic,Underweight,1.0,Yes,Yes,No,A student,*,Bachelor’s degree,None
194,5/18/2016 7:02:48,Male,Straight,21,"$10,000 to $19,999",White non-Hispanic,Overweight,1.0,Yes,Yes,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",None
195,5/18/2016 7:04:09,Male,Straight,20,$0,White non-Hispanic,Normal weight,0.0,No,No,No,A student,None,"High school graduate, diploma or the equivalent (for example: GED)",None
196,5/18/2016 7:10:02,Male,Straight,23,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,No,No,A student,student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
197,5/18/2016 7:12:21,Male,Straight,29,"$40,000 to $49,999",Asian,Obese,0.0,No,No,No,Self-employed, Therapy,Bachelor’s degree,None
198,5/18/2016 7:13:43,Male,Straight,23,"$1 to $10,000",Asian,Normal weight,2.0,Yes,Yes,No,Out of work and looking for work,Your survey question design is bad and you should feel bad.,Bachelor’s degree,None
199,5/18/2016 7:19:47,Female,Straight,26,"$1 to $10,000",White non-Hispanic,Overweight,0.0,No,Yes,Yes,Out of work but not currently looking for work,useless,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, join clubs/socual clubs/meet ups, medication"
200,5/18/2016 7:27:20,Male,Straight,22,"$10,000 to $19,999",White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Out of work and looking for work,.,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
201,5/18/2016 7:28:01,Male,Straight,23,$0,Indian,Underweight,3.0,Yes,Yes,No,Out of work and looking for work,Student,Bachelor’s degree,None
202,5/18/2016 7:41:18,Male,Straight,27,$0,White non-Hispanic,Overweight,6.0,Yes,Yes,Yes,Out of work but not currently looking for work,Philosopher,"Some high school, no diploma",Other exercise
203,5/18/2016 7:41:18,Male,Straight,24,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,A student,What?,"High school graduate, diploma or the equivalent (for example: GED)",Trying to accept my fate.
204,5/18/2016 7:46:46,Male,Straight,28,$0,White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Out of work and looking for work,loser,Master’s degree,Other exercise
205,5/18/2016 7:46:57,Male,Straight,19,"$10,000 to $19,999",White non-Hispanic,Overweight,10.0,No,Yes,Yes,Employed for wages,Software Engineer,Trade/technical/vocational training,Other exercise
206,5/18/2016 7:54:01,Male,Straight,24,"$1 to $10,000",Black,Underweight,4.0,Yes,Yes,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
207,5/18/2016 7:55:10,Male,Straight,25,"$125,000 to $149,999",White non-Hispanic,Normal weight,30.0,No,No,No,Employed for wages,Financial Analyst,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
208,5/18/2016 8:08:44,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,No,No,A student,Student ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
209,5/18/2016 8:10:41,Male,Straight,27,$0,White non-Hispanic,Underweight,13.0,No,Yes,No,Out of work and looking for work,currently unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
210,5/18/2016 8:14:39,Female,Gay/Lesbian,35,"$1 to $10,000",Black,Obese,3.0,Yes,Yes,No,Out of work but not currently looking for work,Nothing,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups"
211,5/18/2016 8:14:52,Male,Straight,19,$0,White non-Hispanic,Normal weight,6.0,Yes,No,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
212,5/18/2016 8:17:01,Female,Bisexual,21,"$1 to $10,000",White non-Hispanic,Normal weight,7.0,Yes,Yes,Yes,Out of work and looking for work,Lifeguard,Bachelor’s degree,"Therapy, Other exercise, join clubs/socual clubs/meet ups"
213,5/18/2016 8:18:08,Female,Straight,30,"$1 to $10,000",White non-Hispanic,Overweight,0.0,No,Yes,No,Employed for wages,lackey,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
214,5/18/2016 8:22:09,Male,Straight,18,"$30,000 to $39,999",Native american,Normal weight,0.0,Yes,Yes,Yes,Out of work and looking for work,None,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
215,5/18/2016 8:24:22,Female,Bisexual,27,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,Yes,No,No,Employed for wages,teacher,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
216,5/18/2016 8:27:23,Male,Straight,35,"$10,000 to $19,999",White non-Hispanic,Normal weight,4.0,Yes,Yes,No,Self-employed,online seller,"Some college, no degree",Joined a gym/go to the gym
217,5/18/2016 8:34:48,Male,Straight,28,"$1 to $10,000",White non-Hispanic,Normal weight,15.0,No,No,No,A student,student,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
218,5/18/2016 8:41:25,Female,Straight,28,"$20,000 to $29,999",White non-Hispanic,Overweight,20.0,No,No,No,Self-employed,Musician,Master’s degree,Joined a gym/go to the gym
219,5/18/2016 8:42:53,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,A student,Student,"Some high school, no diploma",None
220,5/18/2016 8:46:21,Female,Straight,29,"$50,000 to $74,999",White non-Hispanic,Normal weight,5.0,Yes,Yes,Yes,Employed for wages,Designer,Associate degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
221,5/18/2016 8:49:24,Male,Straight,29,"$30,000 to $39,999",White non-Hispanic,Normal weight,7.0,Yes,No,Yes,Employed for wages,Production Editor,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
222,5/18/2016 8:50:29,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,Employed for wages,Job,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
223,5/18/2016 8:52:16,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Overweight,1.0,Yes,Yes,No,Out of work but not currently looking for work,none,"Some college, no degree",Therapy
224,5/18/2016 8:56:57,Male,Straight,20,"$1 to $10,000",Black,Normal weight,10.0,Yes,Yes,No,A student,Bio major,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
225,5/18/2016 8:57:05,Male,Straight,23,"$50,000 to $74,999",White non-Hispanic,Normal weight,4.0,Yes,Yes,No,Employed for wages,System Analyst Associate ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
226,5/18/2016 9:08:40,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,Yes,Yes,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
227,5/18/2016 9:19:05,Male,Straight,17,$0,White non-Hispanic,Normal weight,10.0,No,No,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
228,5/18/2016 9:27:05,Male,Straight,19,$0,White non-Hispanic,Normal weight,1.0,Yes,Yes,No,Unable to work,Unemployed,"Some high school, no diploma","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
229,5/18/2016 9:27:15,Male,Straight,24,$0,White non-Hispanic,Overweight,1.0,No,Yes,No,A student,Student,Bachelor’s degree,None
230,5/18/2016 9:29:39,Male,Straight,31,"$20,000 to $29,999",White non-Hispanic,Overweight,3.0,Yes,Yes,No,Employed for wages,Delivery manager,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
231,5/18/2016 9:31:41,Male,Straight,22,"$10,000 to $19,999",White non-Hispanic,Normal weight,8.0,No,Yes,No,Self-employed,-,Bachelor’s degree,Joined a gym/go to the gym
232,5/18/2016 9:37:14,Male,Straight,24,"$10,000 to $19,999",Asian,Overweight,3.0,Yes,Yes,No,Employed for wages,Clerk,Bachelor’s degree,Joined a gym/go to the gym
233,5/18/2016 9:39:15,Male,Straight,31,"$20,000 to $29,999",White non-Hispanic,Normal weight,2.0,Yes,Yes,No,Employed for wages,S,"Some college, no degree",None
234,5/18/2016 9:42:24,Male,Straight,22,"$20,000 to $29,999",Asian,Normal weight,3.0,Yes,No,No,A student,Masters,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
235,5/18/2016 9:53:09,Male,Straight,20,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
236,5/18/2016 9:54:14,Female,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,1.0,Yes,Yes,Yes,A student,-,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, diets, change of wardrobe, medication, diet pills "
237,5/18/2016 9:54:39,Male,Straight,24,"$1 to $10,000",Black,Overweight,6.0,No,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
238,5/18/2016 9:55:57,Male,Straight,26,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Unable to work,nothing,"Some college, no degree",None
239,5/18/2016 9:56:07,Male,Straight,22,$0,Asian,Normal weight,0.0,Yes,Yes,No,Out of work but not currently looking for work,None,"Some college, no degree",Joined a gym/go to the gym
240,5/18/2016 9:56:10,Male,Straight,26,"$30,000 to $39,999",White non-Hispanic,Overweight,4.0,Yes,Yes,No,Employed for wages,Storekeeper ,Bachelor’s degree,Joined a gym/go to the gym
241,5/18/2016 10:00:58,Male,Straight,24,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,No,Yes,No,A student,Research assistant ,Associate degree,None
242,5/18/2016 10:05:09,Male,Straight,18,$0,White non-Hispanic,Normal weight,20.0,No,Yes,No,A student,Student,Master’s degree,"Joined a gym/go to the gym, Other exercise"
243,5/18/2016 10:07:24,Male,Straight,18,$0,White non-Hispanic,Normal weight,6.0,Yes,Yes,No,A student,President,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
244,5/18/2016 10:09:50,Male,Straight,22,"$10,000 to $19,999",Black,Normal weight,5.0,No,Yes,Yes,Employed for wages,Sales,"Some college, no degree","Joined a gym/go to the gym, Therapy"
245,5/18/2016 10:18:15,Male,Straight,22,"$50,000 to $74,999",White non-Hispanic,Normal weight,15.0,No,No,No,Employed for wages,Technician ,"Some college, no degree",Other exercise
246,5/18/2016 10:18:29,Male,Straight,19,$0,White non-Hispanic,Normal weight,0.0,No,Yes,Yes,Out of work but not currently looking for work,Junkie,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise"
247,5/18/2016 10:19:13,Male,Straight,18,$0,Asian,Normal weight,0.0,Yes,Yes,No,A student,student,"Some college, no degree",None
248,5/18/2016 10:22:29,Male,Straight,21,$0,Indian,Normal weight,10.0,Yes,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
249,5/18/2016 10:28:46,Male,Straight,31,"$10,000 to $19,999",Mixed,Overweight,3.0,Yes,Yes,No,Employed for wages,Press operator,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
250,5/18/2016 10:34:31,Male,Bisexual,25,"$10,000 to $19,999",White non-Hispanic,Underweight,28.0,No,Yes,No,Out of work but not currently looking for work,N/a,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Self analysis "
251,5/18/2016 10:47:54,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,4.0,Yes,No,No,A student,Student,Bachelor’s degree,Other exercise
252,5/18/2016 10:48:04,Male,Straight,27,"$1 to $10,000",White non-Hispanic,Normal weight,10.0,Yes,Yes,No,Employed for wages,Cleaner,Bachelor’s degree,Other exercise
253,5/18/2016 10:56:14,Male,Straight,19,$0,White non-Hispanic,Obese,0.0,Yes,Yes,No,A student,--,"Some college, no degree",None
254,5/18/2016 11:01:31,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Underweight,2.0,Yes,Yes,No,Employed for wages,Technician,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
255,5/18/2016 11:07:19,Male,Bisexual,20,$0,White non-Hispanic,Underweight,0.0,No,No,No,A student,-,"High school graduate, diploma or the equivalent (for example: GED)",None
256,5/18/2016 11:17:49,Male,Straight,26,$0,White non-Hispanic,Overweight,3.0,Yes,No,No,Out of work but not currently looking for work,none,"Some high school, no diploma",Other exercise
257,5/18/2016 11:20:05,Male,Straight,31,"$30,000 to $39,999",White non-Hispanic,Normal weight,100.0,No,Yes,No,Employed for wages,Manager,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
258,5/18/2016 11:23:33,Male,Straight,18,$0,White non-Hispanic,Normal weight,3.0,Yes,Yes,Yes,Out of work and looking for work,None,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
259,5/18/2016 11:30:23,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Overweight,4.0,Yes,Yes,Yes,A student,Intern,Trade/technical/vocational training,"Joined a gym/go to the gym, Therapy"
260,5/18/2016 11:32:06,Male,Bisexual,28,"$30,000 to $39,999",White non-Hispanic,Overweight,10.0,Yes,Yes,No,Employed for wages,engineer,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
261,5/18/2016 11:35:47,Male,Straight,24,$0,White non-Hispanic,Overweight,1.0,Yes,Yes,No,A student,Web Developpeur,Bachelor’s degree,None
262,5/18/2016 11:38:32,Male,Straight,26,"$100,000 to $124,999",White non-Hispanic,Obese,0.0,Yes,Yes,No,Employed for wages,Software developer,Bachelor’s degree,Joined a gym/go to the gym
263,5/18/2016 11:40:44,Male,Straight,23,$0,White non-Hispanic,Normal weight,5.0,Yes,Yes,Yes,Out of work but not currently looking for work,Unemployed,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
264,5/18/2016 11:44:10,Female,Straight,27,"$50,000 to $74,999",White non-Hispanic,Normal weight,4.0,Yes,Yes,Yes,Employed for wages,Rather not say,Doctorate degree,"Cosmetic survey, Therapy"
265,5/18/2016 11:49:16,Male,Straight,33,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,Yes,No,Out of work but not currently looking for work,Loser,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
266,5/18/2016 11:50:48,Female,Straight,26,$0,mixed,Normal weight,0.0,Yes,Yes,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",None
267,5/18/2016 11:56:49,Male,Straight,30,"$20,000 to $29,999",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Employed for wages,Warehouse associate,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, Dealer, keeps you in touch with a lot of different people"
268,5/18/2016 11:57:43,Male,Straight,24,$0,White non-Hispanic,Obese,2.0,Yes,Yes,No,A student,Student,Associate degree,Other exercise
269,5/18/2016 12:00:37,Male,Straight,44,"$125,000 to $149,999",White non-Hispanic,Normal weight,12.0,No,No,No,Employed for wages,Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
270,5/18/2016 12:18:45,Male,Straight,27,"$30,000 to $39,999",White non-Hispanic,Overweight,7.0,No,Yes,No,Employed for wages,Trainee Mechanical Engineer,Bachelor’s degree,"Therapy, join clubs/socual clubs/meet ups"
271,5/18/2016 12:28:26,Male,Straight,27,"$50,000 to $74,999",White non-Hispanic,Obese,5.0,Yes,No,No,Employed for wages,Teacher ,Bachelor’s degree,Other exercise
272,5/18/2016 12:29:40,Male,Straight,32,"$50,000 to $74,999",Asian,Normal weight,10.0,Yes,Yes,No,A homemaker,na,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
273,5/18/2016 12:35:10,Male,Straight,27,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,No,No,No,Employed for wages,engineer,Master’s degree,Joined a gym/go to the gym
274,5/18/2016 12:43:43,Male,Straight,20,$0,White non-Hispanic,Normal weight,0.0,No,Yes,No,A student,Student,Bachelor’s degree,Other exercise
275,5/18/2016 12:47:44,Male,Straight,18,$0,White non-Hispanic,Normal weight,5.0,No,No,No,A student,CGMA Sudent,"Some college, no degree",join clubs/socual clubs/meet ups
276,5/18/2016 13:09:29,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Employed for wages,cleaner,"Some high school, no diploma",Therapy
277,5/18/2016 13:14:18,Male,Straight,26,$0,White non-Hispanic,Normal weight,0.0,No,No,No,A student,-,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
