,name_twitter,screen_name,created_at,location,description,followers_count,friends_count,listed_count,favourites_count,time_zone,statuses_count,lang
1212,FarmingdaleState,FarmingdaleSC,06/25/09 03:27 PM,Farmingdale NY ,Reach Higher with Farmingdale State College,1654,123,41,561,Eastern Time (US & Canada),1372,en
1213,St. Bonaventure U,StBonaventure,06/25/09 07:00 PM,"St. Bonaventure, NY",St. Bonaventure University helps students become extraordinary as we prepare them for a good journey through their lives and careers.,6010,2063,132,321,Quito,8128,en
1214,Southern U. at N.O.,SUNOKnights,06/25/09 08:04 PM,New Orleans,Southern University at New Orleans is a public HBCU and a member of the Southern University System. This is the official University account.,1564,206,45,11,Central Time (US & Canada),3230,en
1215,Vernon College,VernonCollege,06/25/09 08:32 PM,"Vernon, Texas","Vernon College is a community college located in Vernon and Wichita Falls, Texas. Dr. Johnston (DRJ),VC President, tweets when you least expect it!",1065,42,32,30,Central Time (US & Canada),2107,en
1216,Madison College,MadisonCollege,06/26/09 04:07 AM,"Madison, WI","Official Twitter feed for Madison College. Technical, accessible, hands-on education in 150+ programs to earn associate degrees, certificates & diplomas.",3557,550,96,707,Central Time (US & Canada),3291,en
1217,Redlands CC,rcccougar,06/26/09 01:51 PM,"El Reno, OK",I am the official mascot for Redlands Community College.  This is where I can keep you up-to-date about the cool things happening at Redlands!,465,425,18,2,Central Time (US & Canada),974,en
1218,Marymount California,MarymountCU,06/26/09 08:31 PM,"Rancho Palos Verdes, CA",Amazing Lives in View,1050,461,25,522,Pacific Time (US & Canada),1848,en
1219,St. Edward's Univ.,stedwardsu,06/26/09 11:00 PM,"Austin, TX",St. Edward's University is ranked by @USNews as one of America's Best Colleges and an Up and Coming School. #stedwardsu,6684,1077,200,3170,Central Time (US & Canada),4080,en
1220,Concordia Texas,concordiatx,06/29/09 04:57 PM,"Austin, TX","Concordia University Texas is an award-winning institution of higher education, offering undergraduate, graduate and online programs in Texas. #CTX",3077,1437,86,856,Central Time (US & Canada),6535,en
1221,ChurchDivinitySchool,CDSPTweet,06/29/09 11:11 PM,"Berkeley, CA",Educating leaders in ministry for a changing church and world,1296,184,57,56,Pacific Time (US & Canada),1154,en
1222,VHCC,VHCC,06/30/09 05:44 AM,"Abingdon, VA",Virginia Highlands Community College - This is the official Twitter feed for VHCC.  Dedicated to Students Success.  Committed to Excellence.,960,664,29,283,Eastern Time (US & Canada),951,en
1223,Rappahannock CC,rappahannockcc,06/30/09 04:19 PM,NorthernNeck+MidPeninsulaVA,Serving the Northern Neck and Middle Peninsula areas of Virginia. http://t.co/p1XB0CrYbN,1803,1741,63,99,Eastern Time (US & Canada),4151,en
1224,North Carolina A&T ,ncatsuaggies,06/30/09 07:11 PM,"Greensboro, N.C. ","North Carolina Agricultural and Technical State University is a public,  land-grant, doctoral-research university founded in 1891.",22864,1501,265,261,Eastern Time (US & Canada),12935,en
1225,SCU Health Sciences ,SCUHS,06/30/09 08:41 PM,"Whittier, CA","SCU has been educating primary healthcare providers for nearly 100 years. Begin your journey in integrative medicine today! Accredited by WASC, CCE & ACAOM",1010,902,24,38,Pacific Time (US & Canada),571,en
1226,Le Cordon Bleu ,LCBSchools,06/30/09 09:29 PM,,Le Cordon Bleu Schools North America is the leading provider of quality culinary arts education.,18942,1330,309,193,Central Time (US & Canada),5022,en
1227,Newberry College,NewberryCollege,07/01/09 06:34 PM,"Newberry, S.C.","Founded in 1856, Newberry College ensures that students receive individual attention and guidance as part of its values-based curriculum.",1648,82,29,7,Eastern Time (US & Canada),836,en
1228,Rancho Santiago CCD,RSCCD,07/01/09 06:35 PM,"Orange County, CA","The Rancho Santiago Community College District (RSCCD), founded in 1915, provides educational services and professional training to residents in Orange County",665,237,31,3,Pacific Time (US & Canada),263,en
1229,Barton College,bartoncollege,07/01/09 09:26 PM,"Wilson, NC, USA",,1787,1352,31,1233,Eastern Time (US & Canada),1099,en
1230,TX Higher Education,TXHigherEdBoard,07/02/09 03:12 PM,,Providing news and information about higher education in Texas and beyond.  RT = informational purposes only,2926,197,118,31,Central Time (US & Canada),1498,en
1231,KCUMB,Kcumb,07/02/09 04:30 PM,"Kansas City, Missouri, USA",Second-largest provider of physicians in Missouri and Kansas; improving the well-being of the communities we serve,1264,495,37,192,Central Time (US & Canada),2700,en
1232,Evergreen,EvergreenStCol,07/02/09 05:25 PM,"Olympia, Washington","The Evergreen State College is a distinctive public liberal arts and sciences college offering quality, rigor and value in higher education.",3487,172,178,144,Pacific Time (US & Canada),1191,en
1233,St. Joseph's College,SJCNY,07/02/09 08:18 PM,"Brooklyn and Long Island, NY","St. Joseph's College NY has provided an affordable, academic, value-oriented liberal arts education to a diverse population of students since 1916.",2849,310,89,214,Eastern Time (US & Canada),2661,en
1234,Union Seminary,UnionSeminary,07/03/09 05:19 PM,"New York, NY",Union Theological Seminary in #NYC. Reimagining the work of justice. Committed to an interreligious spirituality of radical openness and love. #MyUnion,4708,482,185,371,Eastern Time (US & Canada),3012,en
1235,Morton College,mortoncollege,07/05/09 04:40 PM,"Cicero, Illinois","Since 1924 we have provided quality education with a personal touch to our district residents. No matter what your educational goals, we can help you reach them",1012,15,32,6,Central Time (US & Canada),1985,en
1236,Zane State College,ZaneStateC,07/06/09 05:41 PM,"Zanesville, Ohio",,800,269,17,460,Eastern Time (US & Canada),1975,en
1237,Pellissippi State,ps,07/06/09 06:38 PM,"Knoxville, TN","Pellissippi State offers degree programs, certificates, & continuing ed. for citizens of Knox, Blount, & area counties.
Part of http://t.co/vbb6WKWn1A",3507,30,54,296,Eastern Time (US & Canada),2983,en
1238,Kellogg Comm College,Kellogg_CC,07/06/09 06:57 PM,"Battle Creek, Michigan",The official Twitter feed for Kellogg Community College. #blazeyourtrail,1640,80,29,898,Eastern Time (US & Canada),5781,en
1239,Lake Land College,LakeLandBuzz,07/07/09 03:06 PM,"Mattoon, Illinois","Quality Education, Valuable Investment, Bright Future, Exciting Career",1410,94,32,8,Central Time (US & Canada),7243,en
1240,Chatham University,ChathamU,07/07/09 03:32 PM,"Pittsburgh, PA","40+ undergrad majors, 30+ grad programs (on campus & online), Falk School of Sustainability & our new Eden Hall Campus. Big Thinking for a Big World. #chathamu",2411,118,73,165,Eastern Time (US & Canada),1615,en
1241,Clarke University,ClarkeU,07/07/09 04:38 PM,"Dubuque, Iowa",Weâ€™re Clarke University â€“ but you can call us Clarke because everyoneâ€™s on a first-name basis here!,1211,204,31,116,Central Time (US & Canada),1886,en
1242,MSM,msmnyc,07/07/09 04:50 PM,"122nd and Broadway, NYC","Manhattan School of Music in #NYC, one of the world's leading music conservatories for #jazz #classicalmusic #opera and #musicaltheatre",2341,976,77,503,Eastern Time (US & Canada),2186,en
1243,Washington College,washcoll,07/07/09 05:48 PM,"Chestertown, MD",Washington College builds close connections through unhurried conversations. We've been celebrating the liberal arts since 1782.,2862,910,76,140,Eastern Time (US & Canada),2049,en
1244,Kennesaw State ,kennesawstate,07/07/09 06:41 PM,"Kennesaw, GA","Official Twitter account for Kennesaw State University, the third-largest university in Georgia. Established in 1963. #kennesawstate",19572,1563,171,4069,Eastern Time (US & Canada),13195,en
1245,The Masters Seminary,mastersseminary,07/07/09 08:46 PM,"Los Angeles, CA","Every Word Inspired, Every Word Preached.",6256,49,118,2,Pacific Time (US & Canada),543,en
1246,Mercy College Iowa,MercyCollege_IA,07/07/09 10:10 PM,"Des Moines, Iowa","Official Twitter  of Mercy College of Health Sciences in Des Moines, IA. Following neither implies nor equals endorsement.",267,166,12,29,Central Time (US & Canada),600,en
1247,Va State University,VSUTrojans,07/08/09 02:21 PM,"Petersburg, VA","Virginia State University, twice named the nation's best public, master's level HBCU by US News & World Report .  Together we're Building A Better World!",6381,249,122,286,Eastern Time (US & Canada),3522,en
1248,Florida Tech,FloridaTech,07/08/09 04:01 PM,"Melbourne, FL ",Florida Institute of Technology is an independent technological university that provides quality education through research. #FloridaTech,4555,1077,89,19,Quito,3160,en
1249,Trocaire College,TrocaireCollege,07/08/09 04:24 PM,"Buffalo, NY","A private career-oriented Catholic college in the spirit of the Sisters of Mercy, strives to empower students toward personal enrichment,dignity,& self-worth...",1293,1154,59,188,Quito,2664,en
1250,WAU News,WAUnews,07/08/09 06:52 PM,Washington DC Metro,"The Gateway to Service since 1904, Washington Adventist University is your Gateway to the World in the nationâ€™s capital!",667,110,26,0,Eastern Time (US & Canada),853,en
1251,Muskegon CC,MuskegonCC,07/08/09 06:55 PM,"Muskegon, Michigan",Muskegon Community College offers more than 80 program and certificate options for in-demand and emerging career fields taught by award winning faculty.,1040,108,32,26,Eastern Time (US & Canada),770,en
1252,Great Falls College ,GFCMSU,07/08/09 07:01 PM,"Great Falls, Montana","Great Falls College MSU is a vital two-year college in Great Falls, Montana where you can continue your educational journey toward a career or transfer.",381,182,9,8,Mountain Time (US & Canada),282,en
1253,Clover Park Tech,CloverParkTech,07/08/09 08:41 PM,"Lakewood & South Hill, WA",CPTC yourself in a career with our 50+ degree and certificate career training programs.,959,438,48,445,Pacific Time (US & Canada),1726,en
1254,New College of FL,NewCollegeofFL,07/08/09 08:57 PM,"Sarasota, FL",A top Fulbright producer with a waterfront campus on Sarasota Bay.  Floridaâ€™s honors college for liberal arts & sciences. #newcollegeoffl,2718,291,94,208,Quito,1180,en
1255,Nichols College,Nichols_College,07/09/09 03:07 PM,"Dudley, MA","Official Twitter of Nichols College. News, events, announcements and answers to your questions.  Tweeting: Claudia Snell",2924,1058,72,1141,Eastern Time (US & Canada),7042,en
1256,Paul Quinn College,PaulQuinnTigers,07/09/09 04:10 PM,"Dallas, TX",Paul Quinn College is America's greatest higher #education transformation story and an example of the new college model. #QuinniteNation #PQCPride,2401,2006,95,187,Central Time (US & Canada),8640,en
1257,OUEasternCampus,OUEasternCampus,07/09/09 05:11 PM,"St. Clairsville, Ohio","A regional campus of Ohio University, located in Belmont County, the heart of eastern Ohio.",464,27,12,0,Eastern Time (US & Canada),439,en
1258,Phillips College,PCCUA,07/09/09 07:15 PM,DeWitt-Helena-Stuttgart,Changing Minds and Changing Lives!,359,41,22,0,Central Time (US & Canada),2413,en
1259,Ashford University,AshfordU,07/09/09 08:46 PM,"San Diego, CA",Ashford University offers high-quality online degree programs and leading-edge technology to create a dynamic and stimulating learning experience.,24049,112,201,290,Pacific Time (US & Canada),5477,en
1260,Univ. of the Rockies,URockies,07/09/09 08:51 PM,"Denver, CO","Rise above at University of the Rockies, a regionally accredited graduate school specializing in master's and doctorate degree programs in psychology.",492,36,20,25,Mountain Time (US & Canada),1661,en
1261,Trinity Christian,TrinityTroll,07/09/09 09:44 PM,"Palos Heights, IL",Trinity Christian College is a four-year liberal arts college centered on God's Word.,1247,267,45,1045,Central Time (US & Canada),2817,en
1262,Danville Comm Coll,DCCPR,07/10/09 01:29 PM,"Danville, VA",This is the official twitter site for news and info about Danville Community College,838,27,29,2,Eastern Time (US & Canada),1050,en
1263,Cambridge College,CambridgeCollg,07/10/09 06:59 PM,"Cambridge, MA","We are a private, non-profit institution dedicated to providing academically excellent, time-efficient, and cost-effective higher education. #mylifemycollege",641,37,31,6,Eastern Time (US & Canada),3040,en
1264,PCA&D,pcad_edu,07/10/09 07:16 PM,"Lancaster, Pennsylvania, USA","Pennsylvania College of Art & Design:your place to prepare for a life in art. BFA degrees:digital media, graphic design, illustration, fine art, photography.",1786,280,108,159,Quito,2584,en
1265,Snow College,SnowCollege,07/10/09 11:04 PM,"Ephraim, UT","Official Twitter account of Snow College, an affordable, open enrollment college with campuses in Ephraim and Richfield. Tweet #SnowCollege #BeABadger",2960,2481,42,1173,Mountain Time (US & Canada),2687,en
1266,Rivier University,RivUniversity,07/10/09 11:10 PM,"Nashua, NH","Rivier University is a Catholic, co-educational university offering associate, bachelor's, master's, and doctoral degrees.",931,36,31,170,Quito,919,en
1267,TUSKEGEE UNIVERSITY,TuskegeeUniv,07/13/09 03:54 AM,Tuskegee AL,The OFFICIAL Tuskegee University Twitter Page. Tuskegee University is an independent and state-related institution of higher education.,6225,1272,122,23,Central Time (US & Canada),3703,en
1268,Kirtland,KirtlandCC,07/13/09 08:47 PM,"Roscommon, MI",Kirtland Community College,701,474,9,48,Eastern Time (US & Canada),1919,en
1269,Western Int'l. Univ.,westedu,07/13/09 11:18 PM,"Phoenix, AZ","Western International University - focused on business and technology, designed to prepare students for leadership positions in a dynamic, global marketplace.",706,134,18,3,Arizona,1513,en
1270,Utica College,uticacollege,07/14/09 03:13 PM,"Utica, NY",Utica College is a comprehensive private college in upstate New York,3251,498,54,1030,Quito,1394,en
1271,Clear Creek,Clear_Creek,07/14/09 06:40 PM,"Pineville, KY (USA)",Clear Creek Baptist Bible College - THE Bible College of the Kentucky Baptist Convention,847,1071,16,201,Eastern Time (US & Canada),1212,en
1272,Eureka College,EurekaCollege,07/14/09 08:23 PM,"Eureka, Illinois","Your capacity to change the world lies in a historic, red-brick campus in Central Illinois. Come see for yourself!",1117,169,31,1140,Central Time (US & Canada),3265,en
1273,CollegeForFinPlan,CollegeFFP,07/14/09 08:38 PM,"Greenwood Village, CO (USA)",A leading provider of financial education,467,179,23,4,Mountain Time (US & Canada),410,en
1274,Hill College,HillCollege,07/15/09 04:29 PM,"Hillsboro, TX",Follow for up-to-minute news about Hill College. Be a Rebel!,828,65,20,531,Central Time (US & Canada),1888,en
1275,LSU Alexandria,LSUAlexandria,07/15/09 05:59 PM,"Alexandria, Louisiana",The Official Twitter Feed of LSU Alexandria.,1090,180,9,434,Central Time (US & Canada),1559,en
1276,Hilbert College,HilbertCollege,07/15/09 06:33 PM,"Hamburg, NY","For alumni, faculty, staff, students and friends of Hilbert College. Keep up with what's happening in the Hilbert community!",1083,255,25,451,Eastern Time (US & Canada),1295,en
1277,PHSC,PHSCedu,07/15/09 08:08 PM,"New Port Richey, FL",The official Twitter profile of Pasco-Hernando State College. Five campus locations serving Hernando and Pasco counties. Follow us! #PHSCedu,1112,112,39,240,Eastern Time (US & Canada),1613,en
1278,Medgar Evers College,NewsatMedgar,07/15/09 08:20 PM,"Brooklyn, New York","Medgar Evers College, CUNY is a 44-year-old liberal arts college in Brooklyn, New York that offers both associate and baccalaureate degrees.",1717,348,63,36,Eastern Time (US & Canada),3941,en
1279,USF San Francisco,usfca,07/16/09 12:20 AM,"San Francisco, CA","Stay connected with the official Twitter of the University of San Francisco. #USFCA

Managed by social@usfca.edu",8506,962,240,3368,Pacific Time (US & Canada),8665,en
1280,Lamar University,LamarUniversity,07/16/09 03:24 PM,Beaumont TX USA,A public Carnegie doctoral research university offering more than 100 degree programs,4860,585,66,56,Central Time (US & Canada),1877,en
1281,Valley College,valleycollege,07/16/09 05:49 PM,"San Bernardino, California",San Bernardino Valley College offers over 140 career programs for students in Southern California and worldwide. Online classes available. ENROLL NOW.,2184,728,68,41,Pacific Time (US & Canada),2231,en
1282,Adelphi University,AdelphiU,07/16/09 06:06 PM,"Garden City, NY","This is the official Adelphi University Twitter account.  
About Us- http://t.co/FFbbsxzmVU   
Take a Tour- http://t.co/0WzkICntx8",5452,1529,109,8125,Eastern Time (US & Canada),15467,en
1283,Wytheville CC,wythevillecc,07/16/09 06:14 PM,Wytheville VA USA,Building Better Futures,448,237,14,24,Mid-Atlantic,621,en
1284,Univ. of Sioux Falls,USiouxFalls,07/16/09 07:56 PM,"Sioux Falls, SD, USA",The official Twitter profile of the University of Sioux Falls - a Christian liberal arts university.,2641,1518,64,233,Central Time (US & Canada),3237,en
1285,UMass,UMass,07/16/09 08:06 PM,Massachusetts,"University of Massachusetts sharing news and more from UMass Amherst, Boston, Dartmouth, Lowell, Medical School and President's Office. Tweets â‰  endorsements",9767,465,239,267,Eastern Time (US & Canada),10092,en
1286,Augustana College,Augustana_IL,07/16/09 10:22 PM,"Rock Island, Illinois","Augustana is a private, selective liberal arts college on a 115-acre campus near the Mississippi River.",4453,99,101,855,Central Time (US & Canada),1629,en
1287,Ashland University ,Ashland_Univ,07/17/09 12:58 PM,"Ashland, OH","The official Twitter of #AshlandUniversity in #Ashland, Ohio. Find us online at http://t.co/OOy22Q2Xvh and Like us on Facebook.",4966,736,73,3361,Eastern Time (US & Canada),7521,en
1288,SowelaTCC,SowelaTCC,07/17/09 07:30 PM,"Lake Charles, Louisiana",We are a Community College situated in Southwest Louisiana.,512,1,4,0,Central Time (US & Canada),434,en
1289,Shaw University,ShawUniversity,07/18/09 02:18 AM,"Raleigh, NC",Transforming a diverse community of learners into future global leaders.The official twitter page for Shaw University.,3311,280,93,46,Eastern Time (US & Canada),1505,en
1290,CMSV,MountStVincent,07/21/09 01:58 PM,"Riverdale, N.Y.",A nationally recognized liberal arts college providing exceptional quality and authentic value. #CMSV #PhinPride,974,1196,35,2088,Eastern Time (US & Canada),2602,en
1291,Bethel University,BethelUniv,07/21/09 02:57 PM,"McKenzie, TN",Bethel is a four year institution affiliated with the Cumberland Presbyterian church #bethelu #gowildcats,1759,1373,30,597,Central Time (US & Canada),2857,en
1292,UAPB News,uapbinfo,07/21/09 04:00 PM,"Pine Bluff, Arkansas","The University of Arkansas at Pine Bluff is an 1890 Land-Grant HBCU with a diverse student population, competitive degree offerings and stellar faculty.",2833,17,48,5,Central Time (US & Canada),1884,en
1293,HCC,HolyokeCC,07/21/09 06:21 PM,"Holyoke, MA","Comprehensive support, innovative instruction, and a university caliber education. We are the community's college!",1277,96,38,114,Eastern Time (US & Canada),1274,en
1294,Grace University,graceuniversity,07/21/09 06:50 PM,"Omaha, NE","At Grace University, our goal is to develop servant leaders for the home, the church and the world through excellence in biblically-integrated education.",488,6,11,31,Central Time (US & Canada),715,en
1295,UNM Gallup,UNMGallup,07/21/09 08:39 PM,"Gallup, NM",UNM-Gallup is a 2-year branch of the University of New Mexico.  Students of UNM-G can stay close yet go far with a variety of degree and certificate programs.,326,82,8,21,Mountain Time (US & Canada),391,en
1296,Miller College,Conifer_BC,07/22/09 12:31 PM,Battle Creek,Complete your bachelor's degree close to home!,152,49,3,0,Quito,130,en
1297,Fredonia,FredoniaU,07/22/09 03:13 PM,"Fredonia, NY","Fredonia builds skilled, connected, creative, and responsible global citizens and professionals.",4797,133,49,3024,Eastern Time (US & Canada),5892,en
1298,Univ. of Arkansas,UArkansas,07/22/09 06:59 PM,"Fayetteville, AR","The flagship institution of higher ed in the state of Arkansas and home to 26,000 students. #UARK",31530,322,286,4215,Central Time (US & Canada),3215,en
1299,Sterling College,SterlingCLife,07/22/09 08:37 PM,"Sterling, Kansas",The official Twitter feed for Sterling College in Kansas. Tweeting to develop creative and thoughtful leaders who understand a maturing Christian faith.,962,94,22,282,Central Time (US & Canada),2688,en
1300,Georgia College,GeorgiaCollege,07/23/09 03:10 PM,"Milledgeville, Ga.",Georgia's Public Liberal Arts University #GPLAU                                GC's Social Media Guidelines: http://t.co/sieUpsrqBV,7246,894,102,1159,Eastern Time (US & Canada),2587,en
1301,Kaplan University,Kaplan_Univ,07/23/09 05:36 PM,,Join the discussion by adding #KaplanU to your tweets.,31986,4164,282,750,Eastern Time (US & Canada),7011,en
1302,Bates Tech College,BatesTechnical,07/23/09 08:49 PM,"#Tacoma, WA","The official Twitter account for Bates Technical College, a public two-year college.",1606,1176,78,767,Pacific Time (US & Canada),2336,en
1303,USI,USIedu,07/24/09 03:49 PM,University of Southern Indiana,Join our 50th anniversary celebration! http://t.co/b4QuVLa7aJ #usi50. Home of #ScrEaglePride!,7417,924,107,856,Central Time (US & Canada),4667,en
1304,TrinityBibleCollege,trinitybible,07/24/09 04:45 PM,"Ellendale, ND",,480,159,14,74,Central Time (US & Canada),591,en
1305,Union College,UnionCollegeNY,07/24/09 07:10 PM,"Schenectady, NY ","The official Twitter account for Union College in Schenectady, NY, connecting students, alumni, parents, friends and faculty.",6400,454,170,1833,Eastern Time (US & Canada),5922,en
1306,Ursuline College,UrsulineCampus,07/26/09 05:52 PM,"Pepper Pike, Ohio","Tweets about Ursuline College, OH's 1st & only women's focused college, highlighting events & speakers at the school, as well as faculty, alumni & student work.",1105,1065,46,654,Eastern Time (US & Canada),2616,en
1307,Art Academy of Cincy,artacademycincy,07/26/09 08:51 PM,"Cincinnati, OH","The Art Academy of Cincinnati is a private college of Art and Design located in historic Over-the-Rhine. Make Art, Make a Difference!",1675,1014,77,1730,Eastern Time (US & Canada),1843,en
1308,Parker University,ParkerUniv,07/27/09 06:10 PM,"Dallas, TX",Igniting Passion. Transforming Lives.,1147,36,21,1,Central Time (US & Canada),1903,en
1309,Hebrew Union College,HUCJIR,07/27/09 08:42 PM,Cincinnati-Jerusalem-LA-NY,"North America's first institution of higher Jewish education and the academic, spiritual, and professional leadership development center of Reform Judaism.",7234,1742,169,0,Eastern Time (US & Canada),4475,en
1310,DMACC,DMACCNews,07/28/09 03:24 PM,Central Iowa,Official College account for Des Moines Area Community College. (DMACC). DMACC is the largest community college in Iowa.,4398,1741,97,2629,Central Time (US & Canada),4999,en
1311,God's Bible School,GodsBibleSchool,07/28/09 05:37 PM,"Cincinnati, OH","The official God's Bible School and College Twitter feed. Updates on teaching, life and learning @GodsBibleSchool in Cincinnati, OH.",905,106,8,72,Eastern Time (US & Canada),385,en
1312,Lourdes University,DiscoverLourdes,07/28/09 06:34 PM,"Sylvania, OH","A Lourdes education prioritizes the Franciscan values of community, learning, reverence, and service.  Discover what else makes Lourdes unique!",1515,390,21,89,Quito,2745,en
1313,UNH Manchester,UNHManchester,07/29/09 04:26 PM,"Manchester, NH","The official twitter feed for UNH's urban campus in Manchester. Follow us for news, events, photos and more great stuff.",3238,805,124,2760,Eastern Time (US & Canada),6332,en
1314,UACC-Morrilton,UACCM,07/29/09 04:28 PM,"Morrilton, Arkansas","The University of Arkansas Community College at Morrilton is a two-year, state-supported community college in Morrilton, Arkansas",1261,131,36,141,Central Time (US & Canada),2171,en
1315,Jefferson College,JCHSRoanokeVA,07/29/09 05:17 PM,"Roanoke, VA",Jefferson College of Health Sciences Official Twitter Page,464,17,15,10,Eastern Time (US & Canada),920,en
1316,Gateway Tech,gatewaytech,07/29/09 07:42 PM,"Racine, Kenosha, Walworth Co.","Enroll in one of 65 career programs, many of which are offered online. Gateway provides education in Kenosha, Racine, and Walworth counties.",1317,174,51,19,Hawaii,1092,en
1317,Mount Mary,MountMary,07/29/09 08:50 PM,"Milwaukee, Wisconsin","Catholic University for women, sponsored by the School Sisters of Notre Dame. We encourage leadership, integrity, and a deep sense of social justice.",1489,934,68,324,Central Time (US & Canada),3334,en
1318,Emory & Henry ,emoryandhenry,07/30/09 03:12 PM,"Emory, VA",Emory & Henry College is a transformative academic community. Our education is distinguished by advancement toward expanded potential and civic responsibility.,1987,353,32,9,Atlantic Time (Canada),1385,en
1319,Thomas Edison State,tesc_edu,07/30/09 05:23 PM,"Trenton, NJ","Thomas Edison State College makes it possible for adults to earn a degree with 100+ areas of study, online courses and flexible transfer credit methods.",1334,359,53,556,Eastern Time (US & Canada),3120,en
1320,LIU Brentwood ,LIUBrentwood,07/31/09 02:40 PM,"Brentwood, NY","Graduate and Undergraduate programs in Education, Counseling, Library Science, Business and Criminal Justice!",94,2,3,0,Eastern Time (US & Canada),94,en
1321,Lesley University,lesley_u,07/31/09 02:52 PM,"Cambridge, MA",Welcome to Lesley University's Twitter feed. Follow us and keep in touch!,3022,477,118,988,Eastern Time (US & Canada),3336,en
1322,CTSFW,CTSFWedu,08/03/09 03:41 PM,Fort Wayne,"Teaching the faithful, reaching the lost, caring for all.",993,4,41,49,Quito,874,en
1323,NazareneBibleCollege,NazBibleCollege,08/03/09 04:02 PM,"Colorado Springs, CO","Nazarene Bible College exists to glorify Jesus Christ as Lord by preparing adults to evangelize, disciple and minister to the world.",945,16,23,0,Mountain Time (US & Canada),163,en
1324,William Woods Univ.,WilliamWoodsU,08/03/09 04:50 PM,"Fulton, MO, USA",Tag us as #WilliamWoods (not #WWU) Our students flourish in all aspects of life. Follow athletics at @WWU_Owls.,1630,1131,61,516,Central Time (US & Canada),3851,en
1325,NDNU,NDNU,08/03/09 04:57 PM,"Belmont, CA","Official twitter feed of Notre Dame de Namur University, a four-year, Catholic university. #NDNU",793,182,44,19,Pacific Time (US & Canada),1652,en
1326,Biblical Seminary ,BiblicalSem,08/04/09 02:28 PM,"Philadelphia, PA",An evangelical seminary committed to the gospel of Jesus Christ and a generously orthodox Christian faith to prepare missional leaders to serve the church.,754,647,28,207,Eastern Time (US & Canada),2172,en
1327,Five Towns College,FiveTownsNY,08/04/09 03:47 PM,"Dix Hills, NY","When you're serious about Music, Media, Education and the Performing Arts",419,315,20,59,Eastern Time (US & Canada),1136,en
1328,Fairleigh Dickinson,FDUWhatsNew,08/04/09 03:49 PM,"New Jersey, Canada and England","Official Twitter feed of Fairleigh Dickinson University. Faculty, students & alumni do the hard work and we get to talk about it.",6487,6966,95,4027,Eastern Time (US & Canada),11650,en
1329,Villanova University,VillanovaU,08/05/09 02:14 PM,"Villanova, PA","Welcome to Nova Nation! The official Twitter community of Villanova University, an Augustinian Catholic University in Pennsylvania. Ignite Change. Go Nova.",18821,2253,353,184,Eastern Time (US & Canada),7111,en
1330,Norwich University,norwichnews,08/05/09 03:31 PM,"Northfield, VT",Norwich University Office of Communications.  Oldest private military college and birthplace of ROTC.,3448,943,65,466,Eastern Time (US & Canada),4209,en
1331,Antioch Los Angeles,AntiochLA,08/05/09 03:55 PM,"Los Angeles, CA","Progressive undergraduate and graduate education for adults with a focus on social justice, community engagement, leadership and global citizenship.",2041,1673,62,35,Pacific Time (US & Canada),4256,en
1332,PLU,PLUNEWS,08/05/09 08:16 PM,"Tacoma, WA","Educating students for lives of thoughtful inquiry, service, leadership and careâ€”for other people, for their communities and for the Earth.",4069,183,183,5747,Pacific Time (US & Canada),10797,en
1333,Ilisagvik College,Ilisagvik,08/05/09 11:44 PM,"Barrow, AK","Ilisagvik College provides quality post-secondary education in a learning environment that perpetuates Inupiat culture, language, values and traditions.",291,221,15,90,Alaska,186,en
1334,Motlow College,MotlowCollege,08/06/09 06:03 PM,"Lynchburg, TN",Motlow College enriches lives in 11 counties in Middle Tennessee,1054,27,8,190,Central Time (US & Canada),1330,en
1335,Mid-America Seminary,MABTS,08/06/09 07:42 PM,"Memphis, TN",Bible. Evangelism. Missions.,1678,1078,27,67,Central Time (US & Canada),1419,en
1336,JeffersonC&TCollege,JeffersonCTC,08/06/09 07:50 PM,"Louisville, Kentucky","Largest college in KCTCS, enrolling 15,000 students on 6 campuses and on-line. Higher Education Begins Here.",1711,157,44,359,Eastern Time (US & Canada),3016,en
1337,Salem International,SIUTigers,08/08/09 05:55 PM,"Salem, WV","The official source for scores, news and alerts for all Salem International athletics teams. #SIUTigerPride",719,150,13,30,Eastern Time (US & Canada),3115,en
1338,MATC,ManhattanTech,08/10/09 03:44 PM,"Manhattan, KS","Manhattan Area Technical College - Manhattan, KS",267,38,7,0,Central Time (US & Canada),482,en
1339,Frostburg State News,frostburgstate,08/10/09 04:01 PM,"Frostburg, MD","Top university news & updates from Frostburg State University. #BobcatSocial Also check out http://t.co/vGYdhHO9Vu and our student-run Twitter, @meetabobcat",3748,421,70,3225,Quito,5447,en
1340,Keystone College,KeystoneCollege,08/10/09 05:53 PM,"La Plume, PA",Campus happenings and news from the official Twitter account of Keystone College.,2216,867,43,934,Eastern Time (US & Canada),3733,en
1341,Lyon College,LyonCollege,08/10/09 08:16 PM,"Batesville, Arkansas","Lyon College serves the community by offering one of the best liberal arts programs in the South, cultivating critical thinking professionals student by student",1544,239,43,37,Central Time (US & Canada),2166,en
1342,Brandman University,BrandmanU,08/11/09 01:08 AM,CA & WA. Online Everywhere,"A private, non-profit university providing on-campus and online programs for today's working professionals. #BrandmanUniversity",2463,700,114,509,Pacific Time (US & Canada),9687,en
